rank,gloss,total,train,val,test
1,DOG1,45,24,4,17
2,BASKETBALL1,44,19,5,20
3,WHATFOR1,43,20,5,18
4,BELT1,40,19,3,18
5,BEE1,39,19,6,14
6,BITE1,39,21,4,14
7,BREAKFAST1,39,21,3,15
8,CHRISTMAS1,39,19,3,17
9,DARK1,39,21,3,15
10,DEAF1,39,20,4,15
11,DEMAND1,39,21,4,14
12,EAT1,39,18,4,17
13,ELEVATOR1,39,19,5,15
14,FINE1,39,19,4,16
15,FOREIGNER1,39,18,4,17
16,HOSPITAL1,39,18,4,17
17,MECHANIC1,39,20,3,16
18,MOVIE1,39,18,4,17
19,NIGHT1,39,17,5,17
20,PARTY1,39,20,4,15
21,PATIENT2,39,19,4,16
22,ROCKINGCHAIR1,39,20,4,15
23,SHAVE1,39,19,5,15
24,AXE1,38,19,4,15
25,BELIEVE1,38,16,6,16
26,DECIDE1,38,20,3,15
27,DOWNSIZE1,38,18,4,16
28,DRAG1,38,18,3,17
29,EDIT1,38,19,4,15
30,HURDLE/TRIP1,38,22,3,13
31,LETTUCE1,38,17,5,16
32,LUNCH1,38,19,5,14
33,MICROSCOPE1,38,18,4,16
34,NOON1,38,19,4,15
35,RECENT1,38,17,4,17
36,RESEARCH1,38,17,5,16
37,RIVER1,38,19,4,15
38,TYPE1,38,17,5,16
39,BACKPACK1,37,19,3,15
40,CALENDAR1,37,17,4,16
41,CANCEL1,37,15,6,16
42,CANCER1,37,18,4,15
43,CLOUD1,37,15,5,17
44,CONFUSED1,37,18,4,15
45,DINNER1,37,18,4,15
46,GUESS1,37,18,5,14
47,HALLOWEEN1,37,19,4,14
48,LOCK1,37,18,5,14
49,SPECIAL1,37,17,5,15
50,THIRD1,37,17,6,14
51,TWINS1,37,18,4,15
52,DEVELOP1,36,19,3,14
53,TAKEOFF1,36,15,5,16
54,THEY1,36,18,3,15
55,5DOLLARS,32,16,4,12
56,ABOUT1,32,13,7,12
57,ACTION,32,14,4,14
58,ADVERTISE,32,17,3,12
59,AFTER,32,15,3,14
60,ALARM,32,14,4,14
61,ALLOFSUDDEN,32,17,3,12
62,ALPHABET,32,15,3,14
63,AND,32,15,3,14
64,ANGRY,32,14,3,15
65,ANYONE,32,17,3,12
66,APPEAR,32,14,4,14
67,APPLE,32,17,4,11
68,AUTISM1,32,17,5,10
69,BACKOUT,32,16,4,12
70,BASEBALLCAP,32,17,5,10
71,BASEMENT,32,15,3,14
72,BASKET1,32,16,4,12
73,BATH,32,14,3,15
74,BECAUSE,32,14,3,15
75,BEHAVIOR,32,16,3,13
76,BLOOD,32,14,4,14
77,BORROW,32,15,3,14
78,BOTTLE,32,16,3,13
79,BOWL,32,14,4,14
80,BOXING,32,16,4,12
81,BOY,32,14,6,12
82,BRAIDS,32,16,3,13
83,BRAVE,32,14,4,14
84,BRIDGE1,32,14,3,15
85,BROTHER,32,16,3,13
86,BUTTERFLY,32,14,3,15
87,CABINET,32,14,3,15
88,CALLTTY,32,15,3,14
89,CANCELLATION,32,14,4,14
90,CANDY2,32,16,3,13
91,CAPTURE,32,17,3,12
92,CASTLE4,32,16,3,13
93,CATEGORY,32,16,3,13
94,CATHOLIC,32,15,4,13
95,CEMETERY,32,17,3,12
96,CHAIN,32,16,4,12
97,CHANNEL,32,14,4,14
98,CHARACTER,32,15,3,14
99,CHASE,32,16,4,12
100,CHEEK,32,17,4,11
