participant_id,video_file,gloss,asl_lex_code,class_idx,split
P1,15890366051589533-APPLE.mp4,APPLE,A_03_054,12,train
P1,4520498201410337-BACKPACK.mp4,BACKPACK1,G_03_091,16,train
P1,7448818785190525-CAPTURE.mp4,CAPTURE,H_03_048,47,train
P1,21344274764159632-ANYONE.mp4,ANYONE,H_01_059,10,train
P1,44939873429204336-CEMETERY.mp4,CEMETERY,H_01_037,51,train
P1,6235541652821013-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096,6,train
P1,7809503445047001-BREAKFAST.mp4,BREAKFAST1,J_01_053,36,train
P1,49288220098651747-DOG.mp4,DOG1,A_01_056,66,train
P1,8450645349294537-ADVERTISE.mp4,ADVERTISE,J_03_015,3,train
P40,654679171689897-APPLE.mp4,APPLE,A_03_054,12,train
P40,8875256912597131-BACKPACK.mp4,BACKPACK1,G_03_091,16,train
P40,2746482938137922-CAPTURE.mp4,CAPTURE,H_03_048,47,train
P40,931782741467386-ANYONE.mp4,ANYONE,H_01_059,10,train
P40,5418273984027029-CEMETERY.mp4,CEMETERY,H_01_037,51,train
P40,3140572918045199-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096,6,train
P40,13959766874483237-BREAKFAST.mp4,BREAKFAST1,J_01_053,36,train
P40,11432147423106453-DOG.mp4,DOG1,A_01_056,66,train
P40,0525121513125173-DARK.mp4,DARK1,J_03_094,60,train
P40,24946258334528815-GUESS.mp4,GUESS1,D_02_013,74,train
P40,2889534487412355-DEMAND.mp4,DEMAND1,D_03_080,63,train
P40,0955181553369353-FOREIGNER.mp4,FOREIGNER1,C_01_077,73,train
P40,6833661881907038-DOWNSIZE.mp4,DOWNSIZE1,C_01_055,67,train
P40,05804557658914389-HURDLE-TRIP.mp4,HURDLE/TRIP1,G_01_036,77,train
P40,2595760307657029-THEY.mp4,THEY1,F_02_103,95,train
P40,14052296225070893-BACKPACK.mp4,BACKPACK1,G_03_091,16,train
P40,25932604034382734-EDIT.mp4,EDIT1,G_02_057,70,train
P40,718637403722669-SPECIAL.mp4,SPECIAL1,J_02_020,93,train
P40,3971071828139323-CONFUSED.mp4,CONFUSED1,J_01_110,59,train
P43,60085579467325-APPLE.mp4,APPLE,A_03_054,12,train
P43,402799943476833-BACKPACK.mp4,BACKPACK1,G_03_091,16,train
P43,941566774478487-CAPTURE.mp4,CAPTURE,H_03_048,47,train
P43,2590930129006048-ANYONE.mp4,ANYONE,H_01_059,10,train
P43,4700164980726875-CEMETERY.mp4,CEMETERY,H_01_037,51,train
P43,7494826589826964-ALL OF_SUDDEN.mp4,ALLOFSUDDEN,H_01_096,6,train
