participant_id,video_file,gloss,asl_lex_code,class_idx,split
P1,6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P40,7535449770372906-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P40,5082858473744953-NO.mp4,NO,C_03_041,5,train
P43,014439537236845323-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P43,5372668319999747-NO.mp4,NO,C_03_041,5,train
P40,1555998439795525-YES.mp4,YES,G_03_074,9,train
P40,12979829347320937-HELP.mp4,HELP,D_01_042,3,train
P40,5237431195885818-EAT.mp4,EAT1,B_02_002,1,train
P40,3624106996012926-MOTHER.mp4,MOTHER,B_02_008,4,train
P40,33555147348315106-EAT.mp4,EAT1,B_02_002,1,train
P40,4782730717831809-PLEASE.mp4,PLEASE,B_02_007,6,train
P40,0022932153577568393-HELLO.mp4,HELLO,D_02_055,2,train
P40,26739488577485493-BOOK.mp4,BOOK,A_01_027,0,train
P37,44146024789241256-YES.mp4,YES,G_03_074,9,train
P37,6216809763132565-WATER.mp4,WATER,A_02_031,8,train
P37,9437772948180145-HELP.mp4,HELP,D_01_042,3,train
P37,3878260902223658-EAT.mp4,EAT1,B_02_002,1,train
P37,9303557889829679-MOTHER.mp4,MOTHER,B_02_008,4,train
P37,4589443576656864-EAT.mp4,EAT1,B_02_002,1,train
P37,04515307711600891-PLEASE.mp4,PLEASE,B_02_007,6,train
P37,8486809407942575-HELLO.mp4,HELLO,D_02_055,2,train
P37,15769775934939156-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P37,09714329486323847-NO.mp4,NO,C_03_041,5,train
P34,16728596536749274-YES.mp4,YES,G_03_074,9,train
P7,7449721965435019-WATER.mp4,WATER,A_02_031,8,train
P7,8093798343741647-BOOK.mp4,BOOK,A_01_027,0,train
P7,594799660772781-MOTHER.mp4,MOTHER,B_02_008,4,train
P7,3407129339550383-EAT.mp4,EAT1,B_02_002,1,train
P7,31545854783740124-PLEASE.mp4,PLEASE,B_02_007,6,train
P37,8258920636382685-BOOK.mp4,BOOK,A_01_027,0,train
P51,7276443456531434-WATER.mp4,WATER,A_02_031,8,train
P51,9654484282818483-BOOK.mp4,BOOK,A_01_027,0,train
P7,7613696736100914-HELLO.mp4,HELLO,D_02_055,2,train
P37,8699610978899361-YES.mp4,YES,G_03_074,9,train
P14,38970444942928073-YES.mp4,YES,G_03_074,9,train
P14,4206186890939383-HELP.mp4,HELP,D_01_042,3,train
P14,5847293981432022-EAT.mp4,EAT1,B_02_002,1,train
P36,3919396171653571-NO.mp4,NO,C_03_041,5,train
P41,25802117645943423-HELLO.mp4,HELLO,D_02_055,2,train
P2,021145910536055412-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P2,7973429116215278-NO.mp4,NO,C_03_041,5,train
P16,7176990560462237-WATER.mp4,WATER,A_02_031,8,train
P16,6967335705063062-HELP.mp4,HELP,D_01_042,3,train
P16,8083635818179542-EAT.mp4,EAT1,B_02_002,1,train
P16,8534387373665198-BOOK.mp4,BOOK,A_01_027,0,train
P16,4465911028936387-MOTHER.mp4,MOTHER,B_02_008,4,train
P16,95072139344285-PLEASE.mp4,PLEASE,B_02_007,6,train
P16,0755679379568106-HELLO.mp4,HELLO,D_02_055,2,train
P16,031705941185190545-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P16,2140134632834978-NO.mp4,NO,C_03_041,5,train
P46,9953610281521326-YES.mp4,YES,G_03_074,9,train
P50,7199140986089654-YES.mp4,YES,G_03_074,9,train
P50,6842760193004458-WATER.mp4,WATER,A_02_031,8,train
P50,43234510854275543-EAT.mp4,EAT1,B_02_002,1,train
P20,07603691172028904-HELP.mp4,HELP,D_01_042,3,train
P20,6976573288663246-MOTHER.mp4,MOTHER,B_02_008,4,train
P50,6137110171725737-NO.mp4,NO,C_03_041,5,train
P50,27449508901283615-BOOK.mp4,BOOK,A_01_027,0,train
P50,5305284657006966-PLEASE.mp4,PLEASE,B_02_007,6,train
P50,9008261925178431-HELLO.mp4,HELLO,D_02_055,2,train
P50,0912245735671211-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P14,03892908647294191-WATER.mp4,WATER,A_02_031,8,train
P14,13472212573182674-BOOK.mp4,BOOK,A_01_027,0,train
P14,7542254268771809-MOTHER.mp4,MOTHER,B_02_008,4,train
P14,5956139983741693-PLEASE.mp4,PLEASE,B_02_007,6,train
P14,06476990357042611-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P14,370678413428154-NO.mp4,NO,C_03_041,5,train
P50,6012215303497841-EAT.mp4,EAT1,B_02_002,1,train
P23,5309657970849855-NO.mp4,NO,C_03_041,5,train
P24,9009854854743657-YES.mp4,YES,G_03_074,9,train
P27,6528064521146906-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P10,8487114823108493-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P10,9959161578599864-BOOK.mp4,BOOK,A_01_027,0,train
P27,9644130188424822-NO.mp4,NO,C_03_041,5,train
P4,29650119146688847-WATER.mp4,WATER,A_02_031,8,train
P4,7616988400005291-HELP.mp4,HELP,D_01_042,3,train
P4,1529448369800237-EAT.mp4,EAT1,B_02_002,1,train
P30,18053723532999788-PLEASE.mp4,PLEASE,B_02_007,6,train
P30,7597723277213178-HELLO.mp4,HELLO,D_02_055,2,train
P31,709429051156695-YES.mp4,YES,G_03_074,9,train
P31,0020247732352038916-WATER.mp4,WATER,A_02_031,8,train
P31,1512241224851143-HELP.mp4,HELP,D_01_042,3,train
P31,6460191084812579-EAT.mp4,EAT1,B_02_002,1,train
P29,9616432008129339-NO.mp4,NO,C_03_041,5,train
P30,057571220614212715-WATER.mp4,WATER,A_02_031,8,train
P30,5574926687456125-HELP.mp4,HELP,D_01_042,3,train
P30,5739215722518052-EAT.mp4,EAT1,B_02_002,1,train
P29,1825200902929398-MOTHER.mp4,MOTHER,B_02_008,4,train
P31,3594639642396176-MOTHER.mp4,MOTHER,B_02_008,4,train
P31,9117047483562963-PLEASE.mp4,PLEASE,B_02_007,6,train
P31,11225598264242453-HELLO.mp4,HELLO,D_02_055,2,train
P29,8801721942460268-PLEASE.mp4,PLEASE,B_02_007,6,train
P31,01379619951634381-NO.mp4,NO,C_03_041,5,train
P29,1340650432799635-HELLO.mp4,HELLO,D_02_055,2,train
P31,5770462994666947-BOOK.mp4,BOOK,A_01_027,0,train
P31,274897834577152-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P33,050364485120873326-YES.mp4,YES,G_03_074,9,train
P33,19062537109661482-WATER.mp4,WATER,A_02_031,8,train
P33,15046472702938374-HELP.mp4,HELP,D_01_042,3,train
P33,31477726769914227-EAT.mp4,EAT1,B_02_002,1,train
P33,11275273156810672-BOOK.mp4,BOOK,A_01_027,0,train
P33,8849980218955149-MOTHER.mp4,MOTHER,B_02_008,4,train
P33,44272136216354463-PLEASE.mp4,PLEASE,B_02_007,6,train
P33,8841964348021558-HELLO.mp4,HELLO,D_02_055,2,train
P33,39425766670939555-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P33,7932042062420475-NO.mp4,NO,C_03_041,5,train
P29,15689453699180178-YES.mp4,YES,G_03_074,9,train
P29,3557945550706938-HELP.mp4,HELP,D_01_042,3,train
P29,7468673870660452-EAT.mp4,EAT1,B_02_002,1,train
P29,6099837370552477-WATER.mp4,WATER,A_02_031,8,train
P29,32682862970131943-BOOK.mp4,BOOK,A_01_027,0,train
P29,5932207271660643-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P29,9092689562509508-YES.mp4,YES,G_03_074,9,train
P29,9483688560737478-HELP.mp4,HELP,D_01_042,3,train
P29,8267242257825924-EAT.mp4,EAT1,B_02_002,1,train
P11,5016352016219428-MOTHER.mp4,MOTHER,B_02_008,4,train
P11,43778843855311433-PLEASE.mp4,PLEASE,B_02_007,6,train
P11,6448349493816601-HELLO.mp4,HELLO,D_02_055,2,train
P11,6901051427765104-NO.mp4,NO,C_03_041,5,train
P11,15498675309554577-YES.mp4,YES,G_03_074,9,train
P11,40723216723050504-WATER.mp4,WATER,A_02_031,8,train
P11,8646796456836814-HELP.mp4,HELP,D_01_042,3,train
P11,7327271470470507-EAT.mp4,EAT1,B_02_002,1,train
P11,35577698333107777-BOOK.mp4,BOOK,A_01_027,0,train
P11,034197610787212396-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P51,10278942340284503-MOTHER.mp4,MOTHER,B_02_008,4,train
P51,9979731168048327-NO.mp4,NO,C_03_041,5,train
P51,6400788027798874-PLEASE.mp4,PLEASE,B_02_007,6,train
P51,081380748015633-HELLO.mp4,HELLO,D_02_055,2,train
P51,6912280773625425-THANK YOU.mp4,THANKYOU,H_02_053,7,train
P30,4865367417269335-BOOK.mp4,BOOK,A_01_027,0,train
P30,012877022575290109-MOTHER.mp4,MOTHER,B_02_008,4,train
P27,47911865396339715-WATER.mp4,WATER,A_02_031,8,train
P27,30148795754394175-EAT.mp4,EAT1,B_02_002,1,train
P27,5250420040806927-BOOK.mp4,BOOK,A_01_027,0,train
P27,9960146118001314-PLEASE.mp4,PLEASE,B_02_007,6,train
P27,32941176670637984-YES.mp4,YES,G_03_074,9,train
P27,5254351100197965-HELLO.mp4,HELLO,D_02_055,2,train
P27,21362573588805733-MOTHER.mp4,MOTHER,B_02_008,4,train
P52,4617924298797549-seedWATER.mp4,WATER,A_02_031,8,train
P52,09953879192572268-seedHELP.mp4,HELP,D_01_042,3,train
P52,36220708618174635-seedEAT.mp4,EAT1,B_02_002,1,train
P52,570638014197151-seedBOOK.mp4,BOOK,A_01_027,0,train
P52,5651079602343521-seedMOTHER.mp4,MOTHER,B_02_008,4,train
P52,47017724784893633-seedPLEASE.mp4,PLEASE,B_02_007,6,train
P52,180739946524912-seedHELLO.mp4,HELLO,D_02_055,2,train
P52,3790733585897841-seedTHANK YOU.mp4,THANKYOU,H_02_053,7,train
P52,2688720555507844-seedNO.mp4,NO,C_03_041,5,train
P52,6358167662084229-seedYES.mp4,YES,G_03_074,9,train
