class_idx,gloss,support,correct,accuracy,precision,recall,f1,predicted_as_this
0,5DOLLARS,4,0,0.0,0.0,0.0,0.0,0
1,ABOUT1,7,0,0.0,0.0,0.0,0.0,0
2,ACTION,4,0,0.0,0.0,0.0,0.0,0
3,ADVERTISE,3,0,0.0,0.0,0.0,0.0,0
4,AFTER,3,0,0.0,0.0,0.0,0.0,0
5,ALARM,4,0,0.0,0.0,0.0,0.0,0
6,ALLOFSUDDEN,3,0,0.0,0.0,0.0,0.0,0
7,ALPHABET,3,0,0.0,0.0,0.0,0.0,0
8,AND,3,0,0.0,0.0,0.0,0.0,0
9,ANGRY,3,0,0.0,0.0,0.0,0.0,0
10,ANYONE,3,0,0.0,0.0,0.0,0.0,0
11,APPEAR,4,0,0.0,0.0,0.0,0.0,0
12,APPLE,4,0,0.0,0.0,0.0,0.0,0
13,AUTISM1,5,0,0.0,0.0,0.0,0.0,0
14,AXE1,4,0,0.0,0.0,0.0,0.0,1
15,BACKOUT,4,0,0.0,0.0,0.0,0.0,1
16,BACKPACK1,3,0,0.0,0.0,0.0,0.0,23
17,BASEBALLCAP,5,3,0.6,0.030927835051546393,0.6,0.058823529411764705,97
18,BASEMENT,3,0,0.0,0.0,0.0,0.0,0
19,BASKET1,4,0,0.0,0.0,0.0,0.0,0
20,BASKETBALL1,5,0,0.0,0.0,0.0,0.0,0
21,BATH,3,0,0.0,0.0,0.0,0.0,0
22,BECAUSE,3,0,0.0,0.0,0.0,0.0,0
23,BEE1,6,0,0.0,0.0,0.0,0.0,0
24,BEHAVIOR,3,1,0.3333333333333333,0.05,0.3333333333333333,0.08695652173913045,20
25,BELIEVE1,6,0,0.0,0.0,0.0,0.0,0
26,BELT1,3,0,0.0,0.0,0.0,0.0,0
27,BITE1,4,0,0.0,0.0,0.0,0.0,0
28,BLOOD,4,0,0.0,0.0,0.0,0.0,0
29,BORROW,3,0,0.0,0.0,0.0,0.0,0
30,BOTTLE,3,0,0.0,0.0,0.0,0.0,0
31,BOWL,4,0,0.0,0.0,0.0,0.0,70
32,BOXING,4,0,0.0,0.0,0.0,0.0,0
33,BOY,6,0,0.0,0.0,0.0,0.0,0
34,BRAIDS,3,0,0.0,0.0,0.0,0.0,0
35,BRAVE,4,0,0.0,0.0,0.0,0.0,0
36,BREAKFAST1,3,0,0.0,0.0,0.0,0.0,12
37,BRIDGE1,3,0,0.0,0.0,0.0,0.0,0
38,BROTHER,3,0,0.0,0.0,0.0,0.0,0
39,BUTTERFLY,3,0,0.0,0.0,0.0,0.0,0
40,CABINET,3,0,0.0,0.0,0.0,0.0,0
41,CALENDAR1,4,0,0.0,0.0,0.0,0.0,0
42,CALLTTY,3,0,0.0,0.0,0.0,0.0,0
43,CANCEL1,6,0,0.0,0.0,0.0,0.0,0
44,CANCELLATION,4,0,0.0,0.0,0.0,0.0,0
45,CANCER1,4,0,0.0,0.0,0.0,0.0,0
46,CANDY2,3,0,0.0,0.0,0.0,0.0,36
47,CAPTURE,3,0,0.0,0.0,0.0,0.0,0
48,CASTLE4,3,0,0.0,0.0,0.0,0.0,0
49,CATEGORY,3,0,0.0,0.0,0.0,0.0,0
50,CATHOLIC,4,0,0.0,0.0,0.0,0.0,0
51,CEMETERY,3,0,0.0,0.0,0.0,0.0,0
52,CHAIN,4,0,0.0,0.0,0.0,0.0,8
53,CHANNEL,4,0,0.0,0.0,0.0,0.0,0
54,CHARACTER,3,0,0.0,0.0,0.0,0.0,0
55,CHASE,4,0,0.0,0.0,0.0,0.0,0
56,CHEEK,4,0,0.0,0.0,0.0,0.0,0
57,CHRISTMAS1,3,0,0.0,0.0,0.0,0.0,0
58,CLOUD1,5,0,0.0,0.0,0.0,0.0,0
59,CONFUSED1,4,0,0.0,0.0,0.0,0.0,0
60,DARK1,3,0,0.0,0.0,0.0,0.0,0
61,DEAF1,4,0,0.0,0.0,0.0,0.0,0
62,DECIDE1,3,0,0.0,0.0,0.0,0.0,1
63,DEMAND1,4,1,0.25,0.013157894736842105,0.25,0.025,76
64,DEVELOP1,3,0,0.0,0.0,0.0,0.0,0
65,DINNER1,4,0,0.0,0.0,0.0,0.0,0
66,DOG1,4,0,0.0,0.0,0.0,0.0,0
67,DOWNSIZE1,4,0,0.0,0.0,0.0,0.0,0
68,DRAG1,3,0,0.0,0.0,0.0,0.0,0
69,EAT1,4,0,0.0,0.0,0.0,0.0,0
70,EDIT1,4,0,0.0,0.0,0.0,0.0,0
71,ELEVATOR1,5,0,0.0,0.0,0.0,0.0,12
72,FINE1,4,0,0.0,0.0,0.0,0.0,0
73,FOREIGNER1,4,0,0.0,0.0,0.0,0.0,0
74,GUESS1,5,0,0.0,0.0,0.0,0.0,0
75,HALLOWEEN1,4,0,0.0,0.0,0.0,0.0,0
76,HOSPITAL1,4,0,0.0,0.0,0.0,0.0,0
77,HURDLE/TRIP1,3,0,0.0,0.0,0.0,0.0,0
