gloss,video_count,train_count,val_count,test_count,participant_count,asl_lex_codes
DOG1,45,24,4,17,30,A_01_056
BASKETBALL1,44,19,5,20,30,A_03_045
WHATFOR1,43,20,5,18,31,C_02_054
BELT1,40,19,3,18,29,A_03_036
BEE1,39,19,6,14,32,J_02_101
BITE1,39,21,4,14,29,K_02_045
BREAKFAST1,39,21,3,15,31,J_01_053
CHRISTMAS1,39,19,3,17,27,F_03_029
DARK1,39,21,3,15,29,J_03_094
DEAF1,39,20,4,15,31,F_03_038
DEMAND1,39,21,4,14,33,D_03_080
EAT1,39,18,4,17,29,B_02_002
ELEVATOR1,39,19,5,15,29,G_03_036
FINE1,39,19,4,16,30,C_01_043
FOREIGNER1,39,18,4,17,30,C_01_077
HOSPITAL1,39,18,4,17,31,B_02_026
MECHANIC1,39,20,3,16,29,A_03_030
MOVIE1,39,18,4,17,30,B_03_077
NIGHT1,39,17,5,17,30,A_01_003
PARTY1,39,20,4,15,30,G_02_059
PATIENT2,39,19,4,16,31,B_01_085
ROCKINGCHAIR1,39,20,4,15,31,G_01_010
SHAVE1,39,19,5,15,30,J_02_018
AXE1,38,19,4,15,28,G_03_066
BELIEVE1,38,16,6,16,28,D_02_049
DECIDE1,38,20,3,15,28,B_02_074
DOWNSIZE1,38,18,4,16,32,C_01_055
DRAG1,38,18,3,17,28,J_02_039
EDIT1,38,19,4,15,28,G_02_057
HURDLE/TRIP1,38,22,3,13,31,G_01_036
LETTUCE1,38,17,5,16,29,A_01_083
LUNCH1,38,19,5,14,28,G_02_081
MICROSCOPE1,38,18,4,16,31,A_03_076
NOON1,38,19,4,15,29,G_02_014
RECENT1,38,17,4,17,28,H_03_090
RESEARCH1,38,17,5,16,31,B_03_084
RIVER1,38,19,4,15,31,A_03_035
TYPE1,38,17,5,16,30,F_03_059
BACKPACK1,37,19,3,15,29,G_03_091
CALENDAR1,37,17,4,16,31,A_03_001
CANCEL1,37,15,6,16,27,F_03_083
CANCER1,37,18,4,15,27,F_01_047
CLOUD1,37,15,5,17,30,D_01_092
CONFUSED1,37,18,4,15,28,J_01_110
DINNER1,37,18,4,15,27,G_03_044
GUESS1,37,18,5,14,30,D_02_013
HALLOWEEN1,37,19,4,14,29,G_03_011
LOCK1,37,18,5,14,31,H_02_017
SPECIAL1,37,17,5,15,31,J_02_020
THIRD1,37,17,6,14,29,F_02_088
TWINS1,37,18,4,15,27,F_01_032
DEVELOP1,36,19,3,14,30,J_03_092
TAKEOFF1,36,15,5,16,28,F_01_020
THEY1,36,18,3,15,27,F_02_103
5DOLLARS,32,16,4,12,31,B_01_062
ABOUT1,32,13,7,12,28,B_02_072
ACTION,32,14,4,14,29,C_01_026
ADVERTISE,32,17,3,12,30,J_03_015
AFTER,32,15,3,14,29,B_02_030
ALARM,32,14,4,14,29,C_01_085
ALLOFSUDDEN,32,17,3,12,31,H_01_096
ALPHABET,32,15,3,14,29,B_02_024
AND,32,15,3,14,29,B_03_072
ANGRY,32,14,3,15,28,B_01_070
ANYONE,32,17,3,12,31,H_01_059
APPEAR,32,14,4,14,29,C_03_064
APPLE,32,17,4,11,31,A_03_054
AUTISM1,32,17,5,10,29,F_03_011
BACKOUT,32,16,4,12,30,F_01_041
BASEBALLCAP,32,17,5,10,29,G_02_072
BASEMENT,32,15,3,14,29,C_01_034
BASKET1,32,16,4,12,30,E_01_060
BATH,32,14,3,15,28,B_01_019
BECAUSE,32,14,3,15,28,B_01_049
BEHAVIOR,32,16,3,13,27,C_02_036
BLOOD,32,14,4,14,29,C_01_087
BORROW,32,15,3,14,29,B_03_055
BOTTLE,32,16,3,13,27,D_02_064
BOWL,32,14,4,14,29,C_03_049
BOXING,32,16,4,12,29,F_03_050
BOY,32,14,6,12,29,B_02_090
BRAIDS,32,16,3,13,29,K_03_125
BRAVE,32,14,4,14,29,B_03_050
BRIDGE1,32,14,3,15,28,A_03_081
BROTHER,32,16,3,13,29,B_01_065
BUTTERFLY,32,14,3,15,28,A_03_056
CABINET,32,14,3,15,28,B_03_030
CALLTTY,32,15,3,14,29,B_03_026
CANCELLATION,32,14,4,14,29,C_02_017
CANDY2,32,16,3,13,27,D_02_079
CAPTURE,32,17,3,12,31,H_03_048
CASTLE4,32,16,3,13,29,K_03_110
CATEGORY,32,16,3,13,27,E_01_034
CATHOLIC,32,15,4,13,30,B_03_052
CEMETERY,32,17,3,12,31,H_01_037
CHAIN,32,16,4,12,29,E_02_055
CHANNEL,32,14,4,14,29,C_03_023
CHARACTER,32,15,3,14,29,B_02_088
CHASE,32,16,4,12,29,F_03_017
CHEEK,32,17,4,11,30,G_03_052
CHEESEGRATER,32,17,5,10,29,F_03_064
CHOCOLATE,32,14,3,15,28,B_01_002
CIGARETTE,32,15,3,14,29,C_01_059
CITY1,32,14,3,15,28,B_01_029
CLEAR,32,14,4,14,29,D_01_006
CLOSE,32,17,4,11,30,G_03_084
COCACOLA,32,14,4,14,29,D_02_040
COCAINE,32,16,5,11,29,F_03_044
COMPLEX,32,14,4,14,29,C_01_061
CONCEPT,32,14,3,15,28,A_03_086
COOKIE,32,15,3,14,29,B_03_008
CORN2,32,14,4,14,29,C_02_026
COVERUP,32,14,4,14,29,C_03_038
CREDITCARD,32,14,4,14,29,B_02_057
DANCE,32,15,3,14,29,B_02_063
DEPENDON,32,15,5,12,30,H_03_076
DISAPPEAR,32,14,4,14,29,D_01_036
DODO,32,16,4,12,29,E_01_096
DRESS,32,14,3,15,28,A_03_046
DROWN5,32,16,3,13,27,K_03_077
EACH,32,16,4,12,29,F_02_059
EGGBEATER,32,16,4,12,30,E_01_007
EGYPT,32,14,4,14,29,C_02_042
EMBARRASS,32,15,3,14,29,C_01_014
ENTER,32,16,4,12,29,E_02_076
ERASE4,32,16,4,12,28,K_03_095
EUROPE,32,14,4,14,29,C_02_010
EXPERIENCE,32,15,3,14,29,B_02_064
EXPLANATION,32,14,4,14,29,C_02_053
FAIL,32,17,3,12,31,H_01_077
FALL2,32,14,4,14,29,C_03_007
FALLINGASLEEP,32,16,4,12,29,E_03_006
FARM,32,15,3,14,29,B_01_086
FAULT,32,14,4,14,29,C_01_051
FAVORITE,32,14,3,15,28,B_01_024
FEW,32,16,3,13,27,C_02_067
FILTER,32,16,4,12,29,F_01_059
FINISH,32,15,3,14,29,B_03_025
FLUTE,32,16,4,12,29,E_02_036
FOUR,32,15,3,14,29,C_01_029
FRACTION,32,16,4,12,29,F_02_024
FRIENDLY,32,14,4,14,29,C_02_031
FUTURE,32,14,4,14,29,C_03_080
GIFT,32,16,4,12,30,E_01_055
GONE,32,15,5,12,30,G_03_051
GREECE,32,14,4,14,29,C_02_048
GREEN,32,14,4,14,29,B_02_085
GRENADE,32,16,4,12,29,E_02_010
GULLIBLE,32,14,4,14,29,C_02_058
HAMMER,32,14,4,14,29,C_02_021
HEALTH,32,15,3,14,29,B_02_083
HEARING,32,14,4,14,29,C_02_023
HELLO,32,14,4,14,29,D_02_055
HELMET1,32,16,3,13,27,D_02_034
HOPE,32,17,4,11,29,D_02_085
HUSBAND,32,14,4,14,29,D_01_082
IMPORTANT,32,14,3,15,28,B_01_081
INVITE,32,14,4,14,29,C_02_007
JOKE,32,17,3,12,31,G_03_086
KANGAROO3,32,16,3,13,27,D_03_079
KING,32,14,4,14,29,C_01_056
LATER,32,16,4,12,31,D_01_077
LAUGH,32,14,4,14,29,C_03_028
LIGHTER,32,14,4,14,29,D_02_025
LIPSTICK,32,15,3,14,29,B_02_046
LOOKAPPEARANCE,32,14,3,15,28,B_02_068
MAIL1,32,16,3,13,27,D_02_019
MAYBE,32,14,4,14,29,B_03_022
MEASURE1,32,14,4,14,29,C_02_037
MEDITATE3,32,16,3,13,27,K_03_061
MORNING,32,14,4,14,29,C_02_012
MOTHER,32,14,3,15,28,B_02_008
MOTORCYCLE,32,14,4,14,29,D_01_011
MUSTACHE,32,15,4,13,29,B_01_021
NAME,32,14,4,14,29,D_01_021
NORTH,32,14,4,14,29,C_01_080
OTHER,32,17,4,11,29,B_02_043
PAIN,32,14,4,14,29,C_03_033
PEEKABOO,32,17,4,11,29,E_02_026
PEPSI,32,14,4,14,29,C_01_021
PERSON,32,15,3,14,29,B_01_066
PLAY,32,14,4,14,29,C_01_066
PONDER,32,17,3,12,31,H_01_043
PSYCHOLOGY,32,16,4,12,29,F_02_074
PULLCONVINCE,32,17,3,12,31,G_03_069
RAIN,32,14,3,15,28,A_03_061
RECORDING,32,15,3,14,29,B_03_089
RED,32,14,4,14,29,C_02_090
RIGHT2,32,14,4,14,29,C_01_070
SAME2,32,14,3,15,28,B_02_013
SANDWICH2,32,15,3,14,27,K_01_015
SCARED,32,14,4,14,29,B_03_079
SERVE1,32,16,4,12,29,E_02_004
SEW,32,15,3,14,29,B_02_073
SHINY,32,16,3,13,27,D_01_091
SHOP2,32,14,4,14,29,C_03_075
SINK,32,18,4,10,29,E_02_042
SKATE,32,14,4,14,29,C_01_090
SLOW,32,15,3,14,29,B_02_041
SOCCER2,32,17,3,12,30,F_03_032
SOCIETY,32,17,3,12,31,H_01_002
SPEAKERS,32,14,3,15,28,B_01_076
SSHH,32,16,4,12,30,E_02_016
STEAL,32,16,3,13,27,C_02_019
STICKY,32,16,4,12,29,F_02_089
STOMACH,32,14,4,14,29,C_03_054
STRANGE,32,14,4,14,29,C_03_018
SURPRISE,32,14,3,15,28,B_01_013
SUSPECT,32,14,4,14,29,C_03_012
SWITZERLAND,32,16,4,12,30,F_01_009
TAKECARE,32,16,4,12,29,F_03_071
TEAM,32,16,4,12,30,E_01_071
TEMPTATION,32,14,4,14,29,C_01_082
TEXT,32,15,3,14,29,B_03_054
THAT,32,14,4,14,29,C_03_059
THIEF1,32,15,3,14,29,B_03_019
THINGS,32,15,3,14,29,B_03_043
TRAIN,32,14,3,15,28,B_03_003
TRAVEL,32,15,3,14,29,B_02_089
TROUBLE,32,15,3,14,29,B_03_048
TWO,32,14,4,14,29,C_02_005
UNDERSTAND,32,14,4,14,29,C_01_006
UNIVERSITY,32,14,4,14,29,C_02_063
VERYINTERESTED,32,15,3,14,27,G_02_039
VIDEOPHONE,32,15,3,14,29,B_01_039
VIEW,32,16,4,12,29,E_02_061
VOTE,32,15,4,13,30,B_02_040
WANT1,32,16,4,12,30,E_01_025
WEAR,32,15,3,14,29,B_02_032
WHAT1,32,16,3,13,27,D_02_094
WHICH,32,14,4,14,29,B_01_088
WHO,32,14,4,14,29,C_01_041
WHY,32,14,4,14,29,D_01_067
WINK,32,16,3,13,27,D_03_094
WISH,32,15,4,13,30,C_01_053
WOMAN1,32,14,4,14,29,C_02_028
WORK,32,14,3,15,28,B_03_059
WORKOUT,32,16,4,12,29,E_02_092
WORM,32,15,3,14,29,B_03_014
WRISTWATCH3,32,16,3,13,27,K_03_044
ZOOMOFF,32,15,4,13,29,D_01_057
1DOLLAR,31,15,3,13,27,C_02_025
8HOUR,31,17,3,11,30,C_02_055
9OCLOCK,31,14,4,13,29,C_02_080
ABBREVIATE,31,15,4,12,29,G_01_040
ABOVE,31,15,4,12,29,NA
ABSOLUTELYNOTHING,31,15,4,12,30,J_01_027
ACCESS,31,15,4,12,30,H_02_086
ACCORDION,31,15,4,12,29,F_02_048
ACCOUNTANT,31,15,4,12,30,A_03_044
ACT,31,14,4,13,29,B_02_038
ACTOR,31,15,3,13,29,A_03_047
ADD,31,15,4,12,29,E_02_030
ADDICT,31,15,3,13,27,H_02_073
ADMIT,31,15,4,12,30,J_02_062
ADVANTAGE,31,16,3,12,30,H_03_059
AFRICA,31,15,3,13,29,A_02_082
ALCOHOL,31,15,4,12,30,E_03_012
ALIGN,31,15,3,13,27,H_02_022
ALITTLEBIT,31,15,4,12,30,H_03_025
ALL,31,15,3,13,28,C_03_088
ALLGONE,31,15,4,12,30,J_03_021
ALLOVER,31,15,3,13,28,J_02_064
ALLWAY,31,15,5,11,28,H_01_084
ALONE,31,15,4,12,26,D_02_024
ALRIGHT,31,16,5,10,27,J_03_025
ALWAYS,31,16,5,10,27,J_03_076
AMERICA,31,15,3,13,28,C_02_006
ANALYZE,31,15,4,12,27,G_02_075
ANIMAL,31,14,4,13,29,B_03_002
ANNOUNCE,31,15,4,12,30,C_01_086
ANSWER,31,16,3,12,29,E_03_065
ANY,31,15,4,12,28,G_01_016
AREA,31,14,4,13,27,H_02_015
ARIZONA,31,15,3,13,27,J_03_022
ARM1,31,13,4,14,28,C_03_043
ARM3,31,15,3,13,27,K_02_002
ARMY,31,14,4,13,29,B_01_059
ARREST1,31,15,4,12,30,H_03_074
ARREST2,31,14,4,13,29,K_01_023
ARTICLE,31,16,3,12,30,J_02_041
ASIA,31,15,3,13,29,A_01_078
ASK,31,14,4,13,29,B_02_023
ASSEMBLY,31,16,4,11,26,J_03_096
ASSIST,31,15,5,11,27,J_03_093
ASSISTANT,31,15,4,12,30,F_03_076
ASTRONAUT,31,15,4,12,30,F_02_013
AT,31,14,4,13,27,J_01_055
ATTITUDE,31,15,3,13,27,J_03_091
AUDITORIUM,31,15,4,12,30,F_02_021
AUNT,31,15,4,12,29,E_02_027
AUTISM2,31,15,5,11,27,K_01_040
AUTOMATIC,31,15,4,12,28,J_01_048
AVOID,31,16,3,12,28,E_01_040
AWAKE,31,13,4,14,27,G_01_078
AWARD,31,15,3,13,27,K_01_114
AWKWARD,31,15,4,12,29,B_01_022
BABY2,31,17,3,11,29,K_01_042
BABYSITTER,31,14,4,13,27,F_03_061
BACHELOR,31,15,4,12,26,E_01_059
BACK,31,16,3,12,29,D_03_029
BACON,31,13,6,12,28,A_03_073
BAG1,31,14,4,13,29,A_01_064
BAG2,31,15,4,12,27,K_02_015
BAKE1,31,14,4,13,29,A_01_060
BAKE2,31,15,4,12,30,B_01_051
BALD,31,15,4,12,30,F_02_100
BALLOON,31,14,4,13,29,A_02_086
BANANA1,31,14,3,14,28,A_03_002
BANANA3,31,15,3,13,27,K_03_014
BANDAGE,31,17,4,10,29,F_03_020
BANK,31,14,3,14,27,D_02_032
BAR,31,13,6,12,28,A_03_072
BARELY,31,15,4,12,29,H_03_037
BARK1,31,15,3,13,27,K_01_074
BASEBALL,31,15,3,13,29,A_03_043
BASIC,31,15,4,12,30,E_01_101
BAT3,31,13,4,14,27,E_01_021
BATHROOM,31,14,3,14,28,A_02_051
BATTERY,31,16,3,12,27,D_02_089
BEACH,31,16,5,10,27,G_02_029
BEAK,31,15,4,12,30,G_03_048
BEANIE,31,15,4,12,30,E_03_091
BEANS,31,16,3,12,28,E_02_069
BEARD,31,16,3,12,27,C_03_085
BEAVER,31,15,4,12,27,F_02_067
BECOME,31,16,3,12,30,H_02_008
BED1,31,14,4,13,29,A_03_037
BED2,31,16,3,12,27,K_03_004
BEHIND,31,15,4,12,30,B_02_048
BELL,31,16,5,10,28,G_02_018
BETTER,31,14,3,14,27,F_01_062
BETWEEN,31,16,3,12,30,J_03_003
BIB,31,15,4,12,28,E_02_103
BIG,31,15,4,12,30,F_02_054
BINOCULARS,31,15,4,12,30,A_03_074
BIOLOGY,31,15,3,13,29,A_02_015
BIRD,31,14,4,13,29,A_01_041
BIRTHDAY,31,15,4,12,28,D_01_054
BISON,31,16,3,12,29,E_02_068
BITEONARM,31,15,3,13,27,K_03_082
BLACK,31,15,4,12,30,B_02_006
BLAME,31,16,3,12,29,G_01_005
BLIND,31,14,4,13,29,B_01_016
